ID,Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,AVG,Def10,Def11,Def12,Def13,Def14,Def15,Def16,Def17,Def18,Def19,Def20,Def21,Size10,Size11,Size12,Size13,Size14,Size15,Size16,Size17,Size18,Size19,Size20,Size21
ISS300,ISS 300: Clothing and Equipment,0,0,0,0,0,0,0,0,-0.051710401,-0.067240863,-0.066199011,-0.06593136,7.58,0,0,0,0,0,0,0,0,-3277500,-4306833.333,-4268666.667,-4284000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2,2,2,2
ISS301,ISS 301: Retail Supply,0,0,0,0,0,0,0,0,-0.089669799,-0.055131755,-0.054946582,-0.047053389,6.58,0,0,0,0,0,0,0,0,-13445000,-8304000,-8301000,-7130000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,3,3,3,3
ISS302,ISS 302: Asset Management,0,0,0,0,0,0,0,0,-0.087615576,-0.053258893,-0.051268743,-0.050757911,6.65,0,0,0,0,0,0,0,0,-8501500,-5187833.333,-5004666.667,-4967000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,3,3,3,2
ISS303,ISS 303: Military Clothing and Sales,0,0,0,0,0,0,0,0,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ISS304,ISS 304: Laundry and Dry-Cleaning Services,0,0,0,0,0,0,0,0,0,-0.047642473,-0.04769688,-0.047702471,4.43,0,0,0,0,0,0,0,0,0,-1259000,-1284000,-1307000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2,2,2
ISS305,ISS 305: Food Services,0,0,0,0,0,0,0,0,-0.045694793,-0.04983208,-0.050363495,-0.050170945,7.06,0,0,0,0,0,0,0,0,-17481000,-19052000,-19252000,-19165000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,4,4,4,4
ISS306,ISS 306: Material Support Maintenance,0,0,0,0,0,0,0,0,-0.047806469,-0.046965007,-0.046569526,-0.046114963,7.44,0,0,0,0,0,0,0,0,-6802000,-6661000,-6603000,-6532000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,3,3,3,3
ISS307,ISS 307: Transportation Services - NTVs,0,0,0,0,0,0,0,0,-0.057081106,-0.047625872,-0.047599933,-0.04731506,6.23,0,0,0,0,0,0,0,0,-15952000,-13292000,-13281000,-13193000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,4,3,3,3
ISS308,ISS 308: Transportation Services - Personal Property,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISS309,ISS 309: Supply and Storage,0,0,0,0,0,0,0,0,-0.083798883,-0.050001397,-0.050004197,-0.050005603,6.92,0,0,0,0,0,0,0,0,-1000000,-596333.3333,-595666.6667,-595000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2,1,1,1
