ISS,Funding, Requirement,Funding, Requirement,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements
202,0,0,0,0,0,0,0,0,0,0,0,0,0,2919,2056,3075,2502,3199,2643,0,2814,0,2871,0,2928,0
202,0,0,0,0,0,0,0,0,0,0,498,3952,69,4241,4756,4756,3852,3852,3856,0,3859,0,3862,0,3862,0
250,0,0,0,0,0,46067,0,15557,0,0,0,0,0,0,39,848,64,1387,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,12474,4200,18103,22457,16684,30089,21226,21789,18985,18985,16458,0,16609,0,16807,0,16997,0
250,0,0,8,0,2473,4781,3504,4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3414,3914,3944,0,4077,0,4156,0,4228,0
250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,898,398,386,0,400,0,397,0,404,0
250,0,0,8527,5694,7255,5659,27194,27194,52347,54136,23660,52304,39561,40776,29926,30182,29973,30311,7586,0,7726,0,7869,0,8000,0
250,0,0,0,4013,0,4227,2534,3198,2029,5390,20804,5546,2842,7961,8097,8114,8299,8318,5416,0,5498,0,5581,0,5665,0
250,0,0,0,0,0,0,0,0,0,0,0,0,839,1096,1108,2479,1286,1267,1143,0,1164,0,1184,0,1209,0
250,0,0,399,0,0,0,1003,1003,2002,2154,2111,1163,3060,1251,1373,1371,1363,1372,0,0,0,0,0,0,0,0
250,0,0,0,0,2769,2769,4183,4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,8,0,0,0,0,0,216,0,311,0,0,0,184,184,186,0,193,0,195,0,199,0
250,0,0,0,0,58,0,0,0,0,0,284,0,456,0,0,0,738,738,743,0,768,0,783,0,796,0
250,0,0,0,0,201,0,0,0,0,0,1995,0,2704,0,0,0,738,738,742,0,768,0,783,0,796,0
250,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,25618,38894,19826,43474,79805,79805,166167,162834,161881,193404,160082,177955,170524,171910,152769,152769,63034,0,62681,0,64696,0,66126,0
250,0,0,940,1933,646,1076,858,2098,4608,5592,5325,10187,5750,13817,10805,13715,10984,12012,9504,0,9272,0,9219,0,9423,0
250,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,1908,0,0,2799,3411,3247,3271,3324,0,3385,0,3430,0,3508,0
250,0,0,406,86,539,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3071,159,-5891,307,0,0,0,0,0,0,0,0
251,0,0,1802,0,1650,1984,17,17,59,1620,58,1660,30,1700,894,1728,17,879,0,0,0,0,0,0,0,0
251,0,0,70834,75787,85364,86043,80717,82317,153012,170816,136706,170601,133313,172065,156194,175603,167193,167467,71619,0,79379,0,80684,0,82285,0
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0
251,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
